acc,pctl
100,1.216685
99.9,1.2177
99.89,1.219982
99.88,1.225816
99.87,1.233932
99.86,1.251179
99.85,1.274007
99.84,1.301653
99.83,1.336908
99.82,1.377489
99.81,1.421875
99.8,1.460682
99.79,1.497712
99.78,1.539562
99.77,1.577353
99.76,1.617681
99.75,1.65877
99.74,1.694279
99.73,1.733846
99.72,1.774935
99.71,1.816024
99.7,1.862439
99.69,1.909868
99.68,1.95882
99.67,2.005235
99.66,2.062049
99.65,2.10745
99.64,2.162742
99.63,2.215498
99.62,2.262928
99.61,2.321517
99.6,2.38518
99.59,2.44453
99.58,2.502105
99.57,2.55968
99.56,2.615733
99.55,2.679142
99.54,2.737224
99.53,2.798604
99.52,2.858969
99.51,2.929226
99.5,2.99162
99.49,3.05376
99.48,3.125539
99.47,3.199854
99.46,3.267067
99.45,3.329715
99.44,3.405044
99.43,3.482149
99.42,3.554942
99.41,3.622409
99.4,3.701036
99.39,3.778394
99.38,3.856514
99.37,3.927785
99.36,3.996266
99.35,4.080727
99.34,4.158339
99.33,4.22961
99.32,4.310012
99.31,4.384074
99.3,4.457628
99.29,4.545385
99.28,4.62528
99.27,4.69782
99.26,4.791411
99.25,4.884241
99.24,4.959571
99.23,5.038197
99.22,5.134325
99.21,5.223097
99.2,5.314913
99.19,5.406982
99.18,5.487384
99.17,5.580468
99.16,5.673806
99.15,5.77881
99.14,5.854647
99.13,5.948746
99.12,6.057555
99.11,6.139732
99.1,6.243215
99.09,6.340104
99.08,6.446123
99.07,6.552396
99.06,6.64827
99.05,6.754796
99.04,6.86183
99.03,6.967342
99.02,7.064484
99.01,7.164162
99,7.275762
98.99,7.379245
98.98,7.479177
98.97,7.582406
98.96,7.68665
98.95,7.793176
98.94,7.89742
98.93,7.99583
98.92,8.111234
98.91,8.224355
98.9,8.341281
98.89,8.44451
98.88,8.561689
98.87,8.677854
98.86,8.781337
98.85,8.896994
98.84,9.007325
98.83,9.135157
98.82,9.257409
98.81,9.374588
98.8,9.513326
98.79,9.613004
98.78,9.722321
98.77,9.85624
98.76,9.96581
98.75,10.07614
98.74,10.19028
98.73,10.32496
98.72,10.44721
98.71,10.56819
98.7,10.68867
98.69,10.80433
98.68,10.95118
98.67,11.07521
98.66,11.2005
98.65,11.32681
98.64,11.46225
98.63,11.58806
98.62,11.70904
98.61,11.83992
98.6,11.9746
98.59,12.09127
98.58,12.22164
98.57,12.34871
98.56,12.47527
98.55,12.60564
98.54,12.73474
98.53,12.8925
98.52,13.01805
98.51,13.15501
98.5,13.30567
98.49,13.42843
98.48,13.59101
98.47,13.74978
98.46,13.88548
98.45,14.02472
98.44,14.1594
98.43,14.31514
98.42,14.44069
98.41,14.57841
98.4,14.71081
98.39,14.8427
98.38,14.98422
98.37,15.11916
98.36,15.26094
98.35,15.40627
98.34,15.5303
98.33,15.67487
98.32,15.81691
98.31,15.98989
98.3,16.11036
98.29,16.24656
98.28,16.40686
98.27,16.53824
98.26,16.68586
98.25,16.85579
98.24,16.97931
98.23,17.10233
98.22,17.23751
98.21,17.42292
98.2,17.55887
98.19,17.72601
98.18,17.88225
98.17,18.04204
98.16,18.16911
98.15,18.33474
98.14,18.48489
98.13,18.64874
98.12,18.77505
98.11,18.93737
98.1,19.10807
98.09,19.25873
98.08,19.41623
98.07,19.56436
98.06,19.71933
98.05,19.87531
98.04,20.02014
98.03,20.18272
98.02,20.32653
98.01,20.47744
98,20.62328
97.99,20.78307
