pctl,acc60,acc15,mult,gap
1,100,,,
1.5,99.78,,,
2,99.67,,,
2.5,99.58,,,
3,99.49,,,
3.5,99.42,,,
4,99.35,,,
4.5,99.29,,,
5,99.23,,,
5.5,99.17,,,
6,99.12,,,
6.5,99.07,,,
7,99.02,,,
7.5,98.97,,,
8,98.92,,,
8.5,98.88,,,
9,98.84,,,
9.5,98.8,,,
10,98.75,,,
10.5,98.71,,,
11,98.67,,,
11.5,98.63,,,
12,98.59,,,
12.5,98.55,,,
13,98.52,,,
13.5,98.48,,,
14,98.45,,,
14.5,98.41,,,
15,98.37,,,
15.5,98.34,,,
16,98.3,,,
16.5,98.27,,,
17,98.23,,,
17.5,98.2,,,
18,98.17,,,
18.5,98.13,,,
19,98.1,,,
19.5,98.07,,,
20,98.04,,,
20.5,98,,,
21,97.97,,,
21.5,97.94,,,
22,97.91,,,
22.5,97.87,,,
23,97.84,,,
23.5,97.81,,,
24,97.78,,,
24.5,97.75,,,
25,97.72,,,
25.5,97.69,,,
26,97.66,,,
26.5,97.63,,,
27,97.6,,,
27.5,97.57,,,
28,97.54,,,
28.5,97.51,,,
29,97.48,,,
29.5,97.45,,,
30,97.42,,,
30.5,97.39,,,
31,97.36,,,
31.5,97.33,,,
32,97.3,,,
32.5,97.27,,,
33,97.24,,,
33.5,97.21,,,
34,97.18,,,
34.5,97.15,,,
35,97.12,,,
35.5,97.09,,,
36,97.06,,,
36.5,97.03,,,
37,97,,,
37.5,96.97,,,
38,96.94,,,
38.5,96.91,,,
39,96.88,,,
39.5,96.85,,,
40,96.82,,,
40.5,96.79,,,
41,96.75,,,
41.5,96.72,100,1.033912,3.279999
42,96.69,99.58,1.029889,2.889999
42.5,96.66,99.47,1.029071,2.809998
43,96.63,99.43,1.028977,2.800003
43.5,96.6,99.4,1.028986,2.800003
44,96.56,99.37,1.029101,2.810005
44.5,96.53,99.35,1.029214,2.82
45,96.5,99.32,1.029223,2.82
45.5,96.47,99.3,1.029336,2.830002
46,96.44,99.28,1.029448,2.839996
46.5,96.41,99.26,1.029561,2.849998
47,96.37,99.24,1.029781,2.869995
47.5,96.34,99.22,1.029894,2.880005
48,96.31,99.2,1.030007,2.889999
48.5,96.28,99.17,1.030017,2.889999
49,96.24,99.15,1.030237,2.910004
49.5,96.21,99.12,1.030246,2.910004
50,96.18,99.1,1.03036,2.919998
50.5,96.14,99.07,1.030476,2.93
51,96.11,99.04,1.030486,2.93
51.5,96.07,99.01,1.030603,2.940002
52,96.04,98.98,1.030612,2.940002
52.5,96,98.95,1.030729,2.949997
53,95.97,98.91,1.030635,2.940002
53.5,95.94,98.88,1.030644,2.939995
54,95.9,98.85,1.030761,2.949997
54.5,95.87,98.81,1.030666,2.939995
55,95.83,98.78,1.030784,2.949997
55.5,95.79,98.75,1.030901,2.959999
56,95.76,98.72,1.030911,2.959999
56.5,95.72,98.68,1.030924,2.959999
57,95.69,98.65,1.030933,2.959999
57.5,95.65,98.62,1.031051,2.970001
58,95.61,98.59,1.031168,2.979996
58.5,95.57,98.56,1.031286,2.989998
59,95.54,98.53,1.031296,2.989998
59.5,95.5,98.5,1.031414,3
60,95.45,98.46,1.031535,3.010002
60.5,95.42,98.44,1.03165,3.020004
61,95.38,98.4,1.031663,3.020004
61.5,95.34,98.37,1.031781,3.030006
62,95.3,98.33,1.031794,3.029999
62.5,95.26,98.31,1.032018,3.049995
63,95.22,98.28,1.032136,3.059998
63.5,95.18,98.25,1.032255,3.07
64,95.13,98.21,1.032377,3.080002
64.5,95.09,98.18,1.032496,3.090004
65,95.05,98.14,1.032509,3.089996
65.5,95,98.1,1.032632,3.099998
66,94.96,98.08,1.032856,3.120003
66.5,94.91,98.04,1.032979,3.129997
67,94.87,98,1.032992,3.129997
67.5,94.82,97.96,1.033115,3.139999
68,94.77,97.92,1.033238,3.150002
68.5,94.73,97.87,1.033147,3.139999
69,94.68,97.84,1.033376,3.159996
69.5,94.63,97.8,1.033499,3.170006
70,94.58,97.75,1.033517,3.169998
70.5,94.53,97.71,1.03364,3.18
71,94.48,97.67,1.033764,3.189995
71.5,94.43,97.62,1.033782,3.190002
72,94.38,97.58,1.033906,3.200005
72.5,94.33,97.53,1.033923,3.199997
73,94.27,97.48,1.034051,3.210007
73.5,94.22,97.44,1.034175,3.220001
74,94.16,97.37,1.034091,3.209999
74.5,94.1,97.33,1.034325,3.230003
75,94.04,97.27,1.034347,3.229996
75.5,93.98,97.22,1.034475,3.239998
76,93.92,97.17,1.034604,3.25
76.5,93.86,97.12,1.034733,3.260002
77,93.8,97.06,1.034755,3.259995
77.5,93.73,97,1.034887,3.269997
78,93.67,96.94,1.03491,3.270004
78.5,93.6,96.88,1.035043,3.279999
79,93.54,96.81,1.034958,3.269997
79.5,93.47,96.74,1.034984,3.269997
80,93.4,96.67,1.035011,3.269997
80.5,93.33,96.61,1.035144,3.279999
81,93.25,96.55,1.035389,3.300003
81.5,93.18,96.47,1.035308,3.290001
82,93.1,96.39,1.035338,3.290001
82.5,93.02,96.32,1.035476,3.300003
83,92.94,96.24,1.035507,3.299995
83.5,92.86,96.15,1.03543,3.290001
84,92.76,96.08,1.035791,3.32
84.5,92.67,96,1.035934,3.330002
85,92.58,95.89,1.035753,3.309998
85.5,92.48,95.8,1.0359,3.32
86,92.38,95.7,1.035939,3.32
86.5,92.27,95.6,1.03609,3.330002
87,92.17,95.5,1.036129,3.330002
87.5,92.06,95.38,1.036063,3.32
88,91.94,95.28,1.036328,3.339996
