consistency,pctl
96.59,0.0002536346
95.93,0.0005072692
95.12,0.0007609038
94.75,0.001014538
94.32,0.001268173
94.11,0.001521808
93.65,0.001775442
93.11,0.002029077
92.98,0.002282711
92.94,0.002536346
92.93,0.00278998
92.71,0.003043615
92.28,0.00329725
92.16,0.003550884
92.03,0.003804519
92.02,0.004058153
92,0.004311788
91.93,0.004565423
91.91,0.004819057
91.88,0.005072692
91.81,0.005326326
91.79,0.006340865
91.77,0.006594499
91.74,0.007101768
91.67,0.007355403
91.65,0.007609038
91.63,0.007862672
91.62,0.008116307
91.59,0.008623576
91.57,0.00887721
91.56,0.009130845
91.55,0.00938448
91.51,0.009638114
91.5,0.01014538
91.49,0.01039902
91.48,0.01065265
91.47,0.01090629
91.44,0.01115992
91.43,0.01141356
91.42,0.01242809
91.41,0.01268173
91.4,0.01293536
91.37,0.013189
91.36,0.01344263
91.34,0.01369627
91.33,0.0139499
91.32,0.01420354
91.31,0.01445717
91.29,0.01471081
91.28,0.01496444
91.27,0.01521808
91.24,0.01572534
91.22,0.01597898
91.2,0.01623261
91.19,0.01673988
91.17,0.01699352
91.16,0.01724715
91.15,0.01750079
91.14,0.01775442
91.13,0.01826169
91.12,0.01851532
91.11,0.01927623
91.07,0.0197835
91.03,0.02003713
91.02,0.0205444
91.01,0.02079804
91,0.02105167
90.98,0.02155894
90.97,0.02181257
90.96,0.02206621
90.93,0.02231984
90.92,0.02257348
90.91,0.02282711
90.9,0.02308075
90.88,0.02333438
90.87,0.02358802
90.85,0.02409529
90.84,0.02434892
90.83,0.02485619
90.82,0.02536346
90.81,0.02587073
90.8,0.026378
90.78,0.02688527
90.76,0.0271389
90.72,0.0278998
90.71,0.02840707
90.7,0.02866071
90.69,0.02891434
90.68,0.02916798
90.67,0.02942161
90.66,0.03043615
90.65,0.03119705
90.64,0.03170432
90.62,0.03195796
90.61,0.03221159
90.6,0.03246523
90.59,0.03271886
90.58,0.03322613
90.57,0.03347977
90.56,0.03424067
90.55,0.03525521
90.54,0.03626975
90.53,0.03652338
90.52,0.03677701
90.5,0.03779155
90.48,0.03829882
90.47,0.039567
90.46,0.03982063
90.45,0.04007426
90.44,0.0403279
90.43,0.0410888
90.42,0.04184971
90.41,0.04286424
90.4,0.04362515
90.39,0.04438605
90.38,0.04489332
90.37,0.04616149
90.36,0.0469224
90.35,0.0476833
90.34,0.04869784
90.33,0.04920511
90.32,0.05021965
90.31,0.05072692
90.3,0.05174146
90.29,0.05224872
90.28,0.05250236
90.27,0.05275599
90.26,0.05377053
90.25,0.05453144
90.24,0.05529234
90.23,0.05579961
90.22,0.05605324
90.21,0.05630688
90.2,0.05681415
90.18,0.05732142
90.17,0.05757505
90.15,0.05833595
90.14,0.05960413
90.13,0.0601114
90.12,0.06137957
90.11,0.06188684
90.1,0.06239411
90.09,0.06315501
90.08,0.06416955
90.07,0.06493045
90.06,0.06569136
90.05,0.06594499
90.04,0.06645226
90.03,0.06695953
90.02,0.0674668
90.01,0.06797407
90,0.06924224
89.99,0.07025678
89.98,0.07051041
89.97,0.07152495
89.96,0.07228586
89.95,0.07355403
89.94,0.07431493
89.93,0.07507584
89.92,0.07583674
89.91,0.07710491
89.9,0.07837309
89.89,0.08040216
89.88,0.08217761
89.87,0.08369941
89.86,0.08471395
89.85,0.08496759
89.84,0.08623576
89.83,0.08750393
89.82,0.08902574
89.81,0.08927937
89.8,0.08978664
89.79,0.09080118
89.78,0.09206935
89.77,0.09283026
89.76,0.09333753
89.75,0.0938448
89.74,0.09612751
