pctl,datetime60,datetime15,mult,gap
0,9228.27,9228.161,0.9999883,-0.1083984
0.5,9225.139,9225.712,1.000062,0.5732422
1,9222.428,9223.783,1.000147,1.355469
1.5,9218.654,9221.637,1.000324,2.982422
2,9215.564,9218.698,1.00034,3.133789
2.5,9211.618,9216.547,1.000535,4.928711
3,9208.162,9214.167,1.000652,6.004883
3.5,9204.202,9210.9,1.000728,6.698242
4,9201.158,9208.561,1.000805,7.402344
4.5,9197.154,9205.37,1.000893,8.21582
5,9193.617,9202.68,1.000986,9.0625
5.5,9189.487,9199.851,1.001128,10.36328
6,9186.014,9196.727,1.001166,10.71289
6.5,9181.806,9194.108,1.00134,12.30273
7,9177.764,9190.719,1.001412,12.95508
7.5,9173.978,9188.142,1.001544,14.16406
8,9169.693,9185.207,1.001692,15.51367
8.5,9166.126,9182.001,1.001732,15.875
9,9161.438,9178.938,1.00191,17.5
9.5,9156.992,9175.481,1.002019,18.48926
10,9152.58,9172.577,1.002185,19.99707
10.5,9147.739,9168.783,1.0023,21.04395
11,9143.403,9165.737,1.002443,22.33398
11.5,9138.759,9161.803,1.002522,23.04395
12,9133.087,9158.663,1.0028,25.57617
12.5,9126.764,9154.674,1.003058,27.91016
13,9120.53,9150.693,1.003307,30.16309
13.5,9115.742,9146.936,1.003422,31.19336
14,9111.199,9143.421,1.003536,32.22168
14.5,9106.392,9139.144,1.003597,32.75195
15,9102.406,9134.065,1.003478,31.65918
15.5,9096.835,9128.663,1.003499,31.82813
16,9091.928,9123.428,1.003465,31.5
16.5,9087.671,9118.684,1.003413,31.0127
17,9083.449,9114.749,1.003446,31.2998
17.5,9078.642,9111.141,1.00358,32.49902
18,9074.471,9106.752,1.003557,32.28125
18.5,9069.513,9103.662,1.003765,34.14941
19,9064.604,9099.225,1.003819,34.62109
19.5,9060.433,9095.248,1.003843,34.81543
20,9055.753,9091.157,1.00391,35.4043
20.5,9050.83,9087.729,1.004077,36.89941
21,9046.4,9083.839,1.004138,37.43848
21.5,9041.498,9079.92,1.00425,38.42188
22,9036.641,9076.254,1.004384,39.61328
22.5,9032.379,9071.905,1.004376,39.52637
23,9027.628,9068.406,1.004517,40.77832
23.5,9022.678,9063.938,1.004573,41.25977
24,9018.318,9060.363,1.004662,42.04492
24.5,9013.137,9056.041,1.00476,42.9043
25,9007.589,9051.913,1.004921,44.32422
25.5,9002.272,9047.812,1.005059,45.53906
26,8997.683,9043.421,1.005083,45.73828
26.5,8991.537,9039.664,1.005352,48.12695
27,8984.813,9035.396,1.00563,50.58301
27.5,8977.762,9031.57,1.005994,53.80859
28,8971.388,9027.546,1.00626,56.1582
28.5,8964.428,9022.879,1.00652,58.45117
29,8957.193,9019.093,1.006911,61.89941
29.5,8950.098,9014.309,1.007174,64.21094
30,8943.069,9008.997,1.007372,65.92773
