delta,pctl
58.0383,0.0002667606
58.03803,0.0008002817
58.03403,0.001067042
58.03349,0.001600563
58.03243,0.001867324
58.03136,0.002134085
58.03056,0.002934366
58.02763,0.003467887
58.02576,0.003734648
58.01936,0.00453493
58.01722,0.005068451
58.01402,0.005335211
58.01376,0.005868732
58.00895,0.006135493
58.00388,0.007202535
57.99935,0.007469296
57.99455,0.008002817
57.99348,0.008536338
57.98868,0.008803099
57.98628,0.009069859
57.98254,0.0101369
57.97854,0.01120394
57.97614,0.01200423
57.97267,0.01333803
57.96894,0.01387155
57.9668,0.01467183
57.9636,0.01493859
57.96014,0.01520535
57.95773,0.01600563
57.95427,0.01653916
57.94893,0.01680592
57.9484,0.01733944
57.94573,0.0176062
57.93986,0.01894
57.92919,0.01974028
57.92252,0.02134085
57.91665,0.02160761
57.91479,0.02187437
57.91212,0.02507549
57.90625,0.02747634
57.89718,0.0277431
57.89425,0.02827662
57.88624,0.02881014
57.87611,0.0290769
57.87531,0.02961042
57.8721,0.0304107
57.86303,0.03227803
57.85743,0.03361183
57.84863,0.03387859
57.84783,0.03414535
57.84463,0.03574592
57.83743,0.0365462
57.83022,0.03868028
57.81902,0.0392138
57.81555,0.04081437
57.80701,0.04294845
57.79848,0.04454901
57.78888,0.04588282
57.78594,0.04721662
57.77794,0.04881718
57.77127,0.05175155
57.76033,0.05228507
57.75846,0.05468592
57.74806,0.05628648
57.73926,0.0581538
57.73072,0.05842056
57.72965,0.05868732
57.72779,0.05922085
57.72565,0.06082141
57.71605,0.06322225
57.70911,0.06615662
57.69444,0.06642338
57.69151,0.06909099
57.67764,0.07042479
57.66936,0.07255887
57.65656,0.07282563
57.65523,0.0730924
57.65363,0.07389268
57.65203,0.0770938
57.63922,0.08002817
57.62855,0.0845631
57.61148,0.08482986
57.61095,0.08509662
57.61068,0.08536338
57.60961,0.08563014
57.60881,0.0858969
57.60588,0.08643042
57.60321,0.09043183
57.58854,0.0933662
57.5768,0.09870141
57.55599,0.09896817
57.55573,0.09923493
57.55413,0.09976845
57.55066,0.1011023
57.54586,0.1043034
57.53092,0.1056372
57.51811,0.1096386
57.50131,0.1101721
57.50051,0.1123062
57.49624,0.1131065
57.49304,0.1173746
57.47703,0.1227099
57.45863,0.1267113
57.43862,0.126978
57.43808,0.1272448
57.43675,0.1296456
57.43222,0.1312462
57.42715,0.1368482
57.40581,0.1419166
57.3898,0.1472518
57.36819,0.1477854
57.36659,0.1483189
57.36526,0.1499194
57.35939,0.15152
57.35272,0.158189
57.33112,0.1613901
57.31591,0.1685927
57.28763,0.1688594
57.28736,0.1699265
57.28096,0.1712603
57.27483,0.1787296
57.25295,0.1840648
57.23668,0.1915341
57.20787,0.1918008
57.2076,0.1923344
57.2068,0.1926011
57.20654,0.1934014
57.20494,0.1939349
57.20387,0.1963358
57.19933,0.1971361
57.19587,0.1998037
57.1892,0.2064727
57.16732,0.2120747
57.14678,0.2219448
57.11744,0.2222116
57.1153,0.2224783
57.11504,0.2246124
57.10917,0.226213
57.1057,0.228347
57.0985,0.2358163
57.07076,0.2400845
57.04861,0.2510217
57.02007,0.2512885
57.0182,0.2515552
57.01794,0.2520887
57.0166,0.252889
57.01234,0.2544896
57.007,0.2582242
56.99846,0.2659603
56.97125,0.2702285
56.94751,0.2771642
56.91817,0.277431
56.91523,0.278498
56.91417,0.2795651
56.9083,0.2824994
56.9003,0.2854338
56.89176,0.2950372
56.86161,0.3009059
