pctl,delta60,delta15,mult,gap
0,98.78332,58.0383,0.5875313,-40.74502
0.5,89.1244,56.21125,0.6307055,-32.91315
1,83.90207,54.61469,0.6509338,-29.28738
1.5,79.44368,53.06401,0.667945,-26.37967
2,74.96779,51.49173,0.6868513,-23.47606
2.5,72.40253,49.93598,0.6896994,-22.46655
3,69.13647,48.40371,0.7001182,-20.73277
3.5,66.28613,46.82101,0.7063471,-19.46512
4,64.43536,45.43653,0.705149,-18.99883
4.5,61.80618,43.88932,0.7101121,-17.91687
5,59.4834,42.3285,0.7116019,-17.1549
5.5,58.22715,40.85545,0.7016564,-17.3717
6,56.3051,39.43735,0.7004223,-16.86776
6.5,54.11446,37.96616,0.70159,-16.1483
7,52.54953,36.41575,0.6929796,-16.13378
7.5,51.48173,35.09555,0.6817089,-16.38618
8,50.0449,34.72796,0.6939361,-15.31694
8.5,48.31054,34.24725,0.7088982,-14.06329
9,46.78746,33.67025,0.7196426,-13.11721
9.5,45.83735,32.97374,0.719364,-12.86361
10,44.76574,32.29457,0.7214125,-12.47118
10.5,43.52775,31.58819,0.7257022,-11.93957
11,42.16016,30.72948,0.728875,-11.43067
11.5,40.90923,29.9316,0.7316589,-10.97763
12,40.0243,29.08864,0.7267744,-10.93566
12.5,39.21799,28.30223,0.7216644,-10.91577
13,38.189,27.39845,0.7174434,-10.79055
13.5,37.11308,26.57015,0.7159242,-10.54293
14,35.95524,25.69278,0.7145768,-10.26246
14.5,34.97925,24.85755,0.710637,-10.1217
15,34.29622,24.02739,0.7005843,-10.26882
15.5,33.58654,23.12067,0.6883909,-10.46587
16,32.70034,22.25904,0.6806973,-10.44131
16.5,31.80578,21.36539,0.6717455,-10.44039
17,30.87925,20.50802,0.6641359,-10.37123
17.5,29.95653,19.81311,0.6613954,-10.14342
18,29.25548,18.86051,0.6446828,-10.39498
18.5,28.66629,18.15866,0.63345,-10.50763
19,27.94368,17.54137,0.6277402,-10.40231
19.5,27.13383,17.17725,0.6330565,-9.956581
20,26.3227,16.90808,0.6423384,-9.414619
20.5,25.52502,16.39457,0.642294,-9.130453
21,24.81003,15.99336,0.644633,-8.816665
21.5,24.2287,15.42756,0.6367476,-8.801133
22,23.63342,14.94633,0.6324235,-8.687089
22.5,22.98538,14.34852,0.6242454,-8.636863
23,22.23893,13.78859,0.6200201,-8.450347
23.5,21.53992,13.24866,0.615075,-8.291253
24,20.87971,12.64552,0.6056368,-8.234187
24.5,20.29305,12.132,0.5978404,-8.161045
25,19.76422,11.41682,0.5776508,-8.347403
25.5,19.23184,10.89904,0.5667183,-8.332806
26,18.64645,10.3207,0.553494,-8.325754
26.5,18.02987,9.71622,0.5388958,-8.313647
27,17.40542,9.113074,0.5235768,-8.292346
27.5,16.80507,8.603561,0.5119623,-8.201506
28,16.27548,8.159139,0.5013148,-8.11634
28.5,15.78799,7.85023,0.4972279,-7.937762
29,15.29214,7.482634,0.4893125,-7.809502
29.5,14.75494,7.069422,0.4791224,-7.685516
30,14.21698,6.604725,0.464566,-7.612254
30.5,13.68891,6.112552,0.446533,-7.576361
31,13.15983,5.652123,0.4294982,-7.507707
31.5,12.69137,5.176489,0.4078748,-7.514878
32,12.23077,4.727264,0.3865059,-7.503503
32.5,11.7377,4.290043,0.3654926,-7.447658
33,11.25098,3.769593,0.3350459,-7.481383
33.5,10.73382,3.381724,0.3150533,-7.352092
34,10.26104,3.040804,0.2963446,-7.220237
34.5,9.817687,2.647332,0.2696493,-7.170355
35,9.402995,2.312014,0.2458806,-7.090981
35.5,8.968266,1.82891,0.2039313,-7.139355
36,8.52339,1.475986,0.1731689,-7.047403
36.5,8.055942,1.055572,0.1310302,-7.00037
37,7.627299,0.7061152,0.09257736,-6.921184
37.5,7.219455,0.3566589,0.04940247,-6.862796
38,6.829111,0.04614958,0.006757772,-6.782961
38.5,6.406556,-0.253956,-0.03964003,-6.660512
39,5.997951,-0.5842056,-0.09740087,-6.582156
39.5,5.564236,-0.9507347,-0.1708653,-6.51497
40,5.176936,-1.253775,-0.2421847,-6.43071
