diff,pctl
79.17,0.0002667606
71.15,0.0005335211
63.14,0.0008002817
61.58,0.001067042
61.39,0.001333803
57.6,0.001600563
56.8,0.001867324
56.76,0.002134085
55.99,0.002400845
55.97,0.002667606
54.39,0.002934366
54.38,0.003201127
54.34,0.003467887
52.79,0.003734648
52,0.004001408
51.99,0.00453493
51.93,0.00480169
51.19,0.005068451
50.4,0.005335211
49.6,0.005601972
48.78,0.005868732
47.99,0.006135493
47.97,0.006402254
47.95,0.006669014
47.2,0.006935775
46.37,0.007202535
46.36,0.007469296
45.6,0.008002817
45.59,0.008536338
44.8,0.009870141
44.78,0.0101369
44.75,0.01040366
44.65,0.01067042
44,0.01093718
43.99,0.01120394
43.97,0.0114707
43.88,0.01173746
43.2,0.01227099
43.19,0.01280451
43.18,0.01307127
43.17,0.01360479
43.11,0.01387155
42.4,0.01467183
42.38,0.01493859
42.37,0.01520535
41.6,0.01573887
41.58,0.01627239
41.56,0.01653916
40.8,0.0176062
40.79,0.01813972
40.78,0.01840648
40.77,0.01867324
40,0.01894
39.97,0.01947352
39.92,0.01974028
39.18,0.02107408
39.17,0.02134085
39.16,0.02160761
39.15,0.02187437
38.4,0.02320817
38.39,0.02427521
38.38,0.02454197
38.36,0.02480873
38.35,0.02507549
38.31,0.02534225
37.59,0.02667606
37.58,0.02694282
37.57,0.02720958
37.49,0.02747634
36.8,0.02854338
36.79,0.02881014
36.78,0.02934366
36.77,0.02961042
36.76,0.03014394
36.75,0.0304107
36.73,0.03067747
36.7,0.03094423
36.68,0.03121099
36,0.03281155
35.99,0.03414535
35.98,0.03547916
35.96,0.03574592
35.94,0.03601268
35.2,0.03868028
35.19,0.03974732
35.18,0.04134789
35.17,0.04188141
35.15,0.04214817
34.4,0.04614958
34.39,0.04748338
34.38,0.04881718
34.37,0.04908394
34.36,0.04961747
34.13,0.04988423
33.6,0.05308535
33.59,0.0554862
33.58,0.05762028
33.57,0.05868732
33.56,0.05922085
33.55,0.05948761
33.54,0.06002113
32.8,0.06268873
32.79,0.06615662
32.78,0.06909099
32.77,0.06935775
32.76,0.06989127
32.73,0.07015803
32.72,0.07042479
32.67,0.07069155
32.66,0.07095831
32,0.07549324
31.99,0.07789409
31.98,0.07922789
31.97,0.08002817
31.96,0.08109521
31.85,0.08136197
31.2,0.08723071
31.19,0.09016507
31.18,0.09416648
31.17,0.0947
31.16,0.09550028
31.15,0.09576704
31.14,0.0960338
30.4,0.1019025
30.39,0.1048369
30.38,0.108038
30.37,0.1085716
30.36,0.1093718
30.35,0.1096386
30.34,0.1099054
30.33,0.1101721
29.6,0.1176414
29.59,0.1211093
29.58,0.1248439
29.57,0.1261777
29.56,0.126978
29.53,0.1272448
29.52,0.1275116
28.8,0.1331135
28.79,0.1376485
28.78,0.1408496
28.77,0.1413831
28.76,0.1429837
28.65,0.1435172
28.64,0.1437839
28,0.1531206
27.99,0.1573887
27.98,0.1616569
27.97,0.1621904
27.96,0.1632575
27.95,0.1635242
27.93,0.163791
27.73,0.1640577
27.2,0.1749949
27.19,0.1800634
27.18,0.1845983
27.17,0.1859321
27.16,0.1864656
27.14,0.1867324
27.11,0.1869992
27.09,0.1875327
26.4,0.1968693
26.39,0.2054056
26.38,0.2096738
26.37,0.2107408
26.36,0.2112744
26.34,0.2115411
26.33,0.2120747
25.6,0.2254127
25.59,0.2355496
25.58,0.2403513
25.57,0.2424854
25.56,0.2432856
25.55,0.2438192
25.54,0.2440859
25.3,0.2443527
25,0.2446194
24.8,0.2616921
24.79,0.2728961
24.78,0.2790316
24.77,0.2803654
24.76,0.2814324
24.75,0.2819659
24.73,0.2824994
24.72,0.2827662
24.69,0.283033
24,0.3027732
23.99,0.3177118
23.98,0.3225135
23.97,0.3262482
23.96,0.3267817
23.95,0.3270485
23.94,0.327582
23.93,0.3281155
23.92,0.3283823
23.86,0.328649
23.2,0.3502566
23.19,0.3675961
23.18,0.3758656
23.17,0.3793335
23.16,0.3801338
23.14,0.3806673
23.09,0.3809341
23.06,0.3812008
