raw,pctl
315.79,0.0002667606
311.96,0.0005335211
304.74,0.0008002817
297.4,0.001067042
293.46,0.001333803
285.55,0.001600563
284.75,0.001867324
282.81,0.002134085
281.6,0.002400845
280.76,0.002667606
280.72,0.002934366
278.33,0.003201127
277.6,0.003467887
275.93,0.003734648
274.22,0.004001408
273.49,0.004268169
269.54,0.00453493
268.8,0.00480169
267.16,0.005068451
266.15,0.005335211
264.75,0.005601972
264.66,0.005868732
264.62,0.006135493
264,0.006402254
263.96,0.006669014
263.87,0.006935775
263.77,0.007469296
262.38,0.008002817
261.42,0.008269578
259.83,0.008536338
259.18,0.008803099
259.02,0.009069859
258.3,0.00933662
257.58,0.00960338
257.48,0.009870141
255.96,0.0101369
255.95,0.01040366
255.2,0.01067042
255.19,0.01093718
255.03,0.01120394
253.6,0.0114707
252.7,0.01173746
251.98,0.01200423
251.93,0.01227099
251.2,0.01253775
251.1,0.01280451
250.29,0.01307127
250.07,0.01333803
249.58,0.01360479
249.47,0.01387155
248.77,0.01413831
248.75,0.01440507
248.72,0.01467183
248.63,0.01493859
248,0.01520535
247.99,0.01547211
247.83,0.01573887
247.19,0.01600563
247.07,0.01627239
246.4,0.01653916
246.06,0.01680592
245.6,0.01733944
245.58,0.0176062
245.52,0.01787296
245.39,0.01813972
244.8,0.01840648
244.78,0.01867324
244.75,0.01894
244.73,0.01920676
244.65,0.01947352
244.6,0.01974028
243.95,0.02000704
243.84,0.0202738
243.81,0.02054056
243.8,0.02080732
243.77,0.02107408
243.53,0.02134085
243.2,0.02160761
243.17,0.02187437
243.14,0.02214113
243.13,0.02240789
243.07,0.02294141
242.4,0.02320817
242.35,0.02347493
242,0.02374169
241.6,0.02400845
241.54,0.02427521
241.49,0.02454197
241.44,0.02507549
241.33,0.02534225
240.74,0.02560901
240.67,0.02587577
240.64,0.02614254
239.87,0.0264093
239.82,0.02667606
239.2,0.02694282
239.18,0.02720958
239.16,0.02747634
239.07,0.02800986
239.06,0.02827662
239.02,0.02854338
238.95,0.02881014
238.39,0.02934366
238.27,0.02961042
238.18,0.02987718
237.87,0.03014394
237.65,0.0304107
237.6,0.03094423
237.5,0.03121099
236.74,0.03147775
236.64,0.03227803
236,0.03307831
235.97,0.03334507
235.95,0.03361183
235.94,0.03387859
235.93,0.03414535
235.91,0.03441211
235.8,0.03467887
234.98,0.03494563
234.89,0.03521239
234.4,0.03547916
234.37,0.03574592
234.27,0.03601268
234.23,0.03627944
234.01,0.0365462
233.58,0.03707972
233.57,0.03734648
233.51,0.03761324
233.43,0.03788
232.8,0.03814676
232.76,0.03841352
232.75,0.03868028
232.73,0.03894704
232.71,0.0392138
232.49,0.03948056
232,0.03974732
231.98,0.04001408
231.92,0.04028085
231.9,0.04054761
231.2,0.04081437
231.18,0.04108113
231.17,0.04134789
231.16,0.04161465
231.14,0.04188141
231.05,0.04214817
231.03,0.04241493
230.89,0.04268169
230.4,0.04348197
230.39,0.04374873
230.37,0.04401549
230.35,0.04428225
230.34,0.04454901
230.33,0.04481578
230.31,0.04508254
230.14,0.0453493
229.6,0.04641634
229.58,0.04694986
229.57,0.04721662
229.56,0.04748338
229.52,0.04775014
229.51,0.04828366
229.5,0.04855042
229.45,0.04881718
229.39,0.04908394
228.8,0.04961747
228.79,0.04988423
228.78,0.05068451
228.77,0.05148479
228.75,0.05201831
228.74,0.05228507
228.73,0.05255183
228.65,0.05281859
228.6,0.05308535
228,0.05388563
227.99,0.05415239
227.98,0.05441916
227.97,0.05468592
227.96,0.05495268
227.93,0.0554862
227.91,0.05601972
227.85,0.05682
227.21,0.05708676
227.19,0.05735352
227.18,0.05762028
227.17,0.0581538
227.14,0.05842056
226.4,0.05895409
226.39,0.05922085
226.38,0.05975437
226.37,0.06002113
226.35,0.06028789
226.31,0.06082141
226.26,0.06108817
226.25,0.06188845
226.22,0.06215521
225.67,0.06242197
225.6,0.06268873
225.58,0.06295549
225.57,0.06348901
225.56,0.06402254
225.54,0.0642893
225.52,0.06455606
225.45,0.06508958
224.78,0.06535634
224.76,0.0656231
224.71,0.06588986
224.69,0.06615662
224.67,0.06642338
224.65,0.06669014
224.63,0.0669569
224.62,0.06722366
224.61,0.06749042
224.5,0.06775718
224.16,0.06802394
224,0.06882423
223.99,0.06935775
223.98,0.06962451
223.97,0.07015803
223.93,0.07042479
223.9,0.07095831
223.8,0.07122507
223.48,0.07149183
223.2,0.07255887
223.19,0.07282563
223.18,0.07362592
223.17,0.07389268
223.15,0.07415944
