wpm,pctl
304.76,0.0002667606
304.74,0.0005335211
304.6,0.0008002817
294.2,0.001067042
285.55,0.001333803
280.76,0.001600563
280.72,0.001867324
277.6,0.002134085
277.47,0.002400845
275.95,0.002667606
275.93,0.002934366
274.02,0.003201127
268.8,0.003467887
267.09,0.003734648
266.23,0.004001408
266.15,0.004268169
265.53,0.00453493
264.62,0.00480169
264,0.005068451
259.95,0.005335211
259.83,0.005601972
259.02,0.005868732
256.63,0.006135493
255.15,0.006402254
255.03,0.006669014
254.27,0.006935775
253.58,0.007202535
252.78,0.007469296
252.7,0.007736056
251.98,0.008002817
251.18,0.008269578
250.38,0.008536338
250.36,0.008803099
250.35,0.009069859
250.07,0.00933662
249.59,0.00960338
248.75,0.009870141
247.19,0.0101369
247.07,0.01040366
246.4,0.01067042
246.33,0.01093718
246.19,0.01120394
246.06,0.0114707
245.6,0.01173746
244.8,0.01227099
244.78,0.01280451
244.77,0.01307127
244.76,0.01333803
244.65,0.01360479
243.95,0.01387155
243.77,0.01413831
243.2,0.01440507
243.14,0.01467183
243.11,0.01493859
242.4,0.01520535
242.27,0.01547211
241.59,0.01573887
241.54,0.01600563
241.52,0.01627239
241.47,0.01653916
241.41,0.01680592
241.39,0.01707268
240.71,0.01733944
240.64,0.0176062
239.87,0.01813972
239.15,0.01840648
239.07,0.01894
238.95,0.01920676
238.27,0.01947352
237.6,0.01974028
237.58,0.02000704
237.55,0.0202738
237.5,0.02054056
237.14,0.02080732
236.77,0.02107408
236.67,0.02134085
236.64,0.02160761
236.54,0.02187437
235.98,0.02214113
235.94,0.02267465
235.93,0.02294141
235.2,0.02347493
235.04,0.02374169
234.4,0.02400845
234.39,0.02427521
234.37,0.02454197
234.36,0.02480873
234.34,0.02507549
234.23,0.02560901
234.02,0.02587577
233.6,0.02614254
233.51,0.0264093
233.43,0.02667606
232.8,0.02720958
232.64,0.0277431
231.9,0.02800986
231.27,0.02827662
231.14,0.02854338
231.13,0.02881014
231.08,0.0290769
230.89,0.02934366
230.4,0.02961042
230.38,0.03014394
230.34,0.0304107
230.14,0.03067747
230.03,0.03094423
229.6,0.03147775
229.58,0.03201127
229.57,0.03227803
229.52,0.03254479
229.5,0.03281155
228.8,0.03334507
228.79,0.03361183
228.78,0.03441211
228.77,0.03467887
228.75,0.03494563
228.74,0.03521239
228.73,0.03547916
228.71,0.03574592
228.65,0.03627944
228.6,0.0365462
228.29,0.03681296
228,0.03788
227.98,0.03814676
227.97,0.03841352
227.94,0.03868028
227.91,0.03894704
227.88,0.0392138
227.85,0.04001408
227.2,0.04028085
227.1,0.04054761
227.05,0.04081437
226.4,0.04108113
226.37,0.04134789
226.35,0.04188141
226.26,0.04214817
226.25,0.04241493
226.19,0.04268169
225.6,0.04321521
225.58,0.04348197
225.57,0.04374873
225.55,0.04401549
225.51,0.04454901
