pctl,wpm60,wpm15,mult,gap
0,277.57,304.76,1.097957,27.19
0.5,163,191.98,1.177791,28.98
1,153.19,181.6,1.185456,28.41
1.5,147.59,175.84,1.191409,28.25
2,143.08,171.17,1.196324,28.09
2.5,139.73,167.2,1.196593,27.47
3,136.59,164.71,1.205872,28.12001
3.5,133.98,162.26,1.211076,28.28
4,131.8,159.93,1.213429,28.12999
4.5,129.8,157.59,1.214099,27.78999
5,128,155.94,1.218281,27.94
5.5,126.38,154.3,1.220921,27.92001
6,124.8,152.71,1.223638,27.91
6.5,123.39,151.17,1.22514,27.78
7,122.18,149.6,1.224423,27.42001
7.5,120.98,148.7,1.229129,27.71999
8,119.79,147.17,1.228567,27.38
8.5,118.6,145.6,1.227656,27.00001
9,117.58,144.78,1.231332,27.2
9.5,116.4,143.9,1.236254,27.49999
10,115.4,142.4,1.233969,26.99999
10.5,114.4,141.58,1.237587,27.18
11,113.58,140.77,1.239391,27.19
11.5,112.6,139.94,1.242806,27.34
12,111.8,139.11,1.244275,27.31
12.5,111,138.28,1.245766,27.28
13,110.2,137.35,1.24637,27.15001
13.5,109.55,136,1.241442,26.45
14,108.77,135.2,1.24299,26.43
14.5,107.98,134.87,1.249028,26.88999
15,107.2,134.25,1.252332,27.05
15.5,106.58,133.51,1.252674,26.92999
16,105.8,132.74,1.254631,26.94
16.5,105.2,131.96,1.254373,26.76001
17,104.59,131.18,1.254231,26.59
17.5,103.99,130.4,1.253967,26.41
18,103.39,129.6,1.253506,26.21001
18.5,102.8,129.51,1.259825,26.70999
19,102.2,128.76,1.259883,26.56
19.5,101.78,127.98,1.257418,26.2
20,101.2,127.2,1.256917,26
20.5,100.78,126.86,1.258782,26.08
21,100.2,126.33,1.260778,26.13
21.5,99.78,125.58,1.258569,25.8
22,99.19,124.8,1.258191,25.61
22.5,98.6,124.72,1.264909,26.12
23,98.06,123.97,1.264226,25.91
23.5,97.58,123.19,1.262451,25.61
24,96.99,123.06,1.268791,26.07
24.5,96.4,122.36,1.269295,25.96
25,95.97,121.6,1.267063,25.63
25.5,95.39,121.52,1.273928,26.13
26,94.98,120.77,1.271531,25.78999
26.5,94.4,120,1.271186,25.6
27,93.98,119.92,1.276016,25.93999
27.5,93.4,119.18,1.276017,25.78
28,92.99,118.4,1.273255,25.41
28.5,92.58,118.33,1.278138,25.75
29,92,117.59,1.278152,25.59
29.5,91.59,117.46,1.282454,25.87
30,91.18,116.77,1.280654,25.59
30.5,90.78,116,1.277815,25.22
31,90.2,115.92,1.285144,25.72
31.5,89.8,115.19,1.282739,25.39
32,89.4,115.05,1.286913,25.65
32.5,88.99,114.37,1.285201,25.38
33,88.59,113.6,1.282312,25.01
33.5,88.17,113.55,1.287853,25.38
34,87.6,112.8,1.287671,25.2
34.5,87.2,112.72,1.292661,25.52
35,86.8,111.99,1.290207,25.18999
35.5,86.4,111.9,1.295139,25.5
36,85.99,111.18,1.292941,25.19
36.5,85.59,110.4,1.28987,24.81001
37,85.19,110.37,1.295575,25.18
37.5,84.79,109.6,1.292605,24.81
